Scenario,Date,PREC,TEMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
0,2023-08-07 02:00:00,0.000000,11.800000,73.000000,4.000000,120.000000,86.090000,128.050000,853.670000,3.000000,186.260000,16.640000
0,2023-08-07 03:00:00,0.000000,11.800000,73.000000,4.000000,120.000000,85.830000,128.050000,853.670000,2.890000,186.260000,16.190000
0,2023-08-07 04:00:00,0.000000,11.800000,73.000000,4.000000,120.000000,85.590000,128.050000,853.670000,2.800000,186.260000,15.790000
0,2023-08-07 05:00:00,0.000000,10.400000,75.000000,6.000000,147.000000,85.310000,128.090000,853.760000,2.970000,186.310000,16.550000
0,2023-08-07 06:00:00,0.000000,10.400000,75.000000,6.000000,147.000000,85.070000,128.130000,853.850000,2.870000,186.350000,16.130000
0,2023-08-07 07:00:00,0.000000,10.400000,75.000000,6.000000,147.000000,84.840000,128.170000,853.940000,2.790000,186.400000,15.760000
0,2023-08-07 08:00:00,0.000000,15.500000,53.000000,8.000000,142.000000,84.970000,128.270000,854.170000,3.140000,186.520000,17.240000
0,2023-08-07 09:00:00,0.000000,15.500000,53.000000,8.000000,142.000000,85.090000,128.370000,854.400000,3.190000,186.640000,17.450000
0,2023-08-07 10:00:00,0.000000,15.500000,53.000000,8.000000,142.000000,85.200000,128.470000,854.640000,3.240000,186.760000,17.640000
0,2023-08-07 11:00:00,0.000000,22.100000,37.000000,10.000000,126.000000,85.930000,128.680000,855.110000,3.970000,187.000000,20.470000
0,2023-08-07 12:00:00,0.000000,22.100000,37.000000,10.000000,126.000000,86.560000,128.880000,855.580000,4.330000,187.250000,21.810000
0,2023-08-07 13:00:00,0.000000,22.100000,37.000000,10.000000,126.000000,87.090000,129.090000,856.060000,4.670000,187.490000,23.020000
0,2023-08-07 14:00:00,0.000000,24.200000,30.000000,11.000000,111.000000,87.900000,129.340000,856.650000,5.510000,187.800000,25.850000
0,2023-08-07 15:00:00,0.000000,24.200000,30.000000,11.000000,111.000000,88.570000,129.600000,857.250000,6.070000,188.110000,27.630000
0,2023-08-07 16:00:00,0.000000,24.200000,30.000000,11.000000,111.000000,89.130000,129.860000,857.850000,6.580000,188.420000,29.190000
0,2023-08-07 17:00:00,0.000000,24.100000,28.000000,13.000000,90.000000,89.680000,130.120000,858.460000,7.880000,188.730000,32.960000
0,2023-08-07 18:00:00,0.000000,24.100000,28.000000,13.000000,90.000000,90.130000,130.390000,859.070000,8.400000,189.040000,34.420000
0,2023-08-07 19:00:00,0.000000,24.100000,28.000000,13.000000,90.000000,90.500000,130.650000,859.680000,8.870000,189.360000,35.660000
0,2023-08-07 20:00:00,0.000000,21.500000,33.000000,11.000000,79.000000,90.540000,130.860000,860.160000,8.060000,189.610000,33.490000
0,2023-08-07 21:00:00,0.000000,21.500000,33.000000,11.000000,79.000000,90.570000,131.070000,860.650000,8.090000,189.860000,33.590000
0,2023-08-07 22:00:00,0.000000,21.500000,33.000000,11.000000,79.000000,90.600000,131.070000,860.650000,8.120000,189.860000,33.670000
0,2023-08-07 23:00:00,0.000000,17.500000,41.000000,9.000000,98.000000,90.540000,131.070000,860.650000,7.280000,189.860000,31.300000
0,2023-08-08 00:00:00,0.000000,17.500000,41.000000,9.000000,98.000000,90.480000,131.070000,860.650000,7.220000,189.860000,31.140000
0,2023-08-08 01:00:00,0.000000,17.500000,41.000000,9.000000,98.000000,90.430000,131.070000,860.650000,7.170000,189.860000,30.990000
0,2023-08-08 02:00:00,0.000000,15.600000,47.000000,8.000000,130.000000,90.250000,131.070000,860.650000,6.640000,189.860000,29.410000
0,2023-08-08 03:00:00,0.000000,15.600000,47.000000,8.000000,130.000000,90.080000,131.070000,860.650000,6.480000,189.860000,28.940000
0,2023-08-08 04:00:00,0.000000,15.600000,47.000000,8.000000,130.000000,89.930000,131.070000,860.650000,6.340000,189.860000,28.510000
0,2023-08-08 05:00:00,0.000000,14.300000,55.000000,8.000000,137.000000,89.610000,131.160000,860.830000,6.070000,189.960000,27.660000
0,2023-08-08 06:00:00,0.000000,14.300000,55.000000,8.000000,137.000000,89.340000,131.240000,861.010000,5.830000,190.060000,26.920000
0,2023-08-08 07:00:00,0.000000,14.300000,55.000000,8.000000,137.000000,89.090000,131.330000,861.190000,5.630000,190.160000,26.270000
0,2023-08-08 08:00:00,0.000000,18.200000,43.000000,12.000000,121.000000,89.090000,131.470000,861.480000,6.880000,190.320000,30.150000
0,2023-08-08 09:00:00,0.000000,18.200000,43.000000,12.000000,121.000000,89.090000,131.610000,861.770000,6.880000,190.490000,30.160000
0,2023-08-08 10:00:00,0.000000,18.200000,43.000000,12.000000,121.000000,89.090000,131.750000,862.060000,6.880000,190.650000,30.160000
0,2023-08-08 11:00:00,0.000000,22.500000,31.000000,17.000000,117.000000,89.480000,131.970000,862.520000,9.370000,190.910000,37.030000
0,2023-08-08 12:00:00,0.000000,22.500000,31.000000,17.000000,117.000000,89.810000,132.180000,862.980000,9.820000,191.170000,38.180000
0,2023-08-08 13:00:00,0.000000,22.500000,31.000000,17.000000,117.000000,90.080000,132.400000,863.450000,10.200000,191.420000,39.150000
0,2023-08-08 14:00:00,0.000000,24.500000,27.000000,17.000000,105.000000,90.540000,132.670000,863.990000,10.900000,191.730000,40.870000
0,2023-08-08 15:00:00,0.000000,24.500000,27.000000,17.000000,105.000000,90.910000,132.930000,864.540000,11.500000,192.040000,42.310000
0,2023-08-08 16:00:00,0.000000,24.500000,27.000000,17.000000,105.000000,91.220000,133.190000,865.090000,12.000000,192.350000,43.510000
0,2023-08-08 17:00:00,0.000000,24.600000,26.000000,16.000000,95.000000,91.510000,133.460000,865.650000,11.890000,192.660000,43.260000
0,2023-08-08 18:00:00,0.000000,24.600000,26.000000,16.000000,95.000000,91.740000,133.720000,866.210000,12.290000,192.970000,44.190000
0,2023-08-08 19:00:00,0.000000,24.600000,26.000000,16.000000,95.000000,91.930000,133.990000,866.780000,12.630000,193.280000,44.960000
0,2023-08-08 20:00:00,0.000000,22.400000,30.000000,13.000000,91.000000,91.930000,134.210000,867.240000,10.860000,193.540000,40.820000
0,2023-08-08 21:00:00,0.000000,22.400000,30.000000,13.000000,91.000000,91.930000,134.430000,867.700000,10.860000,193.800000,40.830000
0,2023-08-08 22:00:00,0.000000,22.400000,30.000000,13.000000,91.000000,91.930000,134.430000,867.700000,10.860000,193.800000,40.830000
0,2023-08-08 23:00:00,0.000000,18.800000,39.000000,12.000000,108.000000,91.770000,134.430000,867.700000,10.100000,193.800000,38.960000
0,2023-08-09 00:00:00,0.000000,18.800000,39.000000,12.000000,108.000000,91.630000,134.430000,867.700000,9.900000,193.800000,38.470000
0,2023-08-09 01:00:00,0.000000,18.800000,39.000000,12.000000,108.000000,91.510000,134.430000,867.700000,9.730000,193.800000,38.040000
0,2023-08-09 02:00:00,0.000000,16.700000,46.000000,9.000000,128.000000,91.230000,134.430000,867.700000,8.040000,193.800000,33.540000
0,2023-08-09 03:00:00,0.000000,16.700000,46.000000,9.000000,128.000000,90.980000,134.430000,867.700000,7.760000,193.800000,32.760000
0,2023-08-09 04:00:00,0.000000,16.700000,46.000000,9.000000,128.000000,90.760000,134.430000,867.700000,7.520000,193.800000,32.080000
0,2023-08-09 05:00:00,0.000000,14.200000,56.000000,8.000000,126.000000,90.330000,134.520000,867.890000,6.720000,193.900000,29.760000
0,2023-08-09 06:00:00,0.000000,14.200000,56.000000,8.000000,126.000000,89.950000,134.600000,868.080000,6.370000,194.000000,28.680000
0,2023-08-09 07:00:00,0.000000,14.200000,56.000000,8.000000,126.000000,89.620000,134.680000,868.270000,6.070000,194.100000,27.750000
0,2023-08-09 08:00:00,0.000000,18.400000,46.000000,11.000000,121.000000,89.580000,134.820000,868.570000,7.020000,194.260000,30.640000
0,2023-08-09 09:00:00,0.000000,18.400000,46.000000,11.000000,121.000000,89.540000,134.950000,868.870000,6.990000,194.420000,30.550000
0,2023-08-09 10:00:00,0.000000,18.400000,46.000000,11.000000,121.000000,89.520000,135.090000,869.180000,6.960000,194.570000,30.470000
0,2023-08-09 11:00:00,0.000000,22.800000,36.000000,16.000000,126.000000,89.660000,135.300000,869.650000,9.140000,194.820000,36.540000
0,2023-08-09 12:00:00,0.000000,22.800000,36.000000,16.000000,126.000000,89.790000,135.500000,870.110000,9.300000,195.060000,36.970000
0,2023-08-09 13:00:00,0.000000,22.800000,36.000000,16.000000,126.000000,89.890000,135.710000,870.580000,9.440000,195.310000,37.330000
0,2023-08-09 14:00:00,0.000000,24.600000,31.000000,15.000000,135.000000,90.220000,135.960000,871.150000,9.410000,195.610000,37.260000
0,2023-08-09 15:00:00,0.000000,24.600000,31.000000,15.000000,135.000000,90.490000,136.210000,871.710000,9.780000,195.900000,38.210000
0,2023-08-09 16:00:00,0.000000,24.600000,31.000000,15.000000,135.000000,90.710000,136.470000,872.280000,10.090000,196.190000,39.010000
0,2023-08-09 17:00:00,0.000000,24.300000,32.000000,14.000000,148.000000,90.830000,136.710000,872.820000,9.770000,196.480000,38.210000
0,2023-08-09 18:00:00,0.000000,24.300000,32.000000,14.000000,148.000000,90.940000,136.950000,873.370000,9.920000,196.770000,38.590000
0,2023-08-09 19:00:00,0.000000,24.300000,32.000000,14.000000,148.000000,91.020000,137.190000,873.920000,10.040000,197.050000,38.910000
0,2023-08-09 20:00:00,0.000000,22.300000,37.000000,13.000000,149.000000,91.020000,137.390000,874.360000,9.550000,197.280000,37.660000
0,2023-08-09 21:00:00,0.000000,22.300000,37.000000,13.000000,149.000000,91.020000,137.590000,874.810000,9.550000,197.520000,37.660000
0,2023-08-09 22:00:00,0.000000,22.300000,37.000000,13.000000,149.000000,91.020000,137.590000,874.810000,9.550000,197.520000,37.660000
0,2023-08-09 23:00:00,0.000000,17.700000,48.000000,9.000000,137.000000,90.760000,137.590000,874.810000,7.520000,197.520000,32.170000
0,2023-08-10 00:00:00,0.000000,17.700000,48.000000,9.000000,137.000000,90.540000,137.590000,874.810000,7.280000,197.520000,31.480000
0,2023-08-10 01:00:00,0.000000,17.700000,48.000000,9.000000,137.000000,90.340000,137.590000,874.810000,7.070000,197.520000,30.880000
0,2023-08-10 02:00:00,0.000000,15.000000,57.000000,9.000000,130.000000,89.930000,137.590000,874.810000,6.670000,197.520000,29.690000
0,2023-08-10 03:00:00,0.000000,15.000000,57.000000,9.000000,130.000000,89.570000,137.590000,874.810000,6.340000,197.520000,28.670000
0,2023-08-10 04:00:00,0.000000,15.000000,57.000000,9.000000,130.000000,89.260000,137.590000,874.810000,6.060000,197.520000,27.800000
